turn_id,session_id,turn_number,speaker,detected_intent,intent_confidence,asr_confidence,error_type,turn_duration_sec,created_at
T4240,S2195,7,system,service_lookup,0.86,0.74,misunderstanding,4,2025-03-26
T4241,S2994,2,system,start_application,0.64,0.93,misunderstanding,4,2025-03-08
T4242,S3014,1,user,unknown,0.88,0.85,,4,2025-04-23
T4243,S2646,10,system,service_lookup,0.95,0.97,misunderstanding,11,2025-04-10
T4244,S3164,1,user,start_application,0.65,0.72,silence,2,2025-03-06
T4245,S2707,6,user,unknown,0.95,0.62,,6,2025-04-16
T4246,S3080,3,system,unknown,0.76,0.95,misunderstanding,11,2025-01-17
T4247,S3165,7,system,service_lookup,0.67,0.66,misunderstanding,3,2025-03-27
T4248,S2721,8,user,start_application,0.88,0.88,,3,2025-04-21
T4249,S2639,5,user,service_lookup,0.77,0.61,,6,2025-02-08
T4250,S2105,5,user,repeat,0.82,0.82,silence,11,2025-02-21
T4251,S2164,12,system,service_lookup,0.89,0.78,,9,2025-02-24
T4252,S2214,2,user,repeat,0.72,0.77,,12,2025-04-05
T4253,S3094,8,system,unknown,0.83,0.56,,11,2025-04-25
T4254,S2089,10,user,unknown,0.71,0.81,,13,2025-03-16
T4255,S2873,13,user,unknown,0.9,0.84,misunderstanding,4,2025-03-09
T4256,S3102,1,user,service_lookup,0.5,0.89,,2,2025-04-11
T4257,S2607,10,user,service_lookup,0.91,0.74,silence,2,2025-01-19
T4258,S2348,9,system,start_application,0.76,0.79,silence,4,2025-04-28
T4259,S2893,1,system,start_application,0.91,0.99,,8,2025-04-05
T4260,S2245,1,user,service_lookup,0.63,0.72,,9,2025-01-27
T4261,S2271,1,user,service_lookup,0.9,0.37,,7,2025-04-23
T4262,S2402,7,system,unknown,0.99,0.75,misunderstanding,8,2025-01-18
T4263,S3139,4,user,unknown,0.93,0.67,,2,2025-04-13
T4264,S3195,12,user,service_lookup,0.83,0.93,silence,6,2025-04-16
T4265,S3039,7,user,service_lookup,0.64,0.61,,14,2025-02-22
T4266,S2960,5,system,start_application,0.83,0.88,silence,11,2025-01-14
T4267,S2897,12,user,unknown,0.81,0.71,,8,2025-01-05
T4268,S3079,14,user,start_application,0.76,0.9,misunderstanding,5,2025-03-28
T4269,S3126,7,system,unknown,0.64,0.86,,11,2025-04-17
T4270,S2283,10,system,repeat,0.83,0.89,,5,2025-02-06
T4271,S2516,14,user,unknown,0.98,0.79,misunderstanding,10,2025-02-11
T4272,S2617,7,user,repeat,0.78,0.86,noise,4,2025-02-17
T4273,S2611,4,user,unknown,0.96,0.81,,3,2025-01-26
T4274,S2749,2,user,repeat,0.63,0.62,,14,2025-03-16
T4275,S2399,8,user,service_lookup,0.53,0.84,,9,2025-01-27
T4276,S2085,2,system,service_lookup,0.87,0.85,misunderstanding,8,2025-03-25
T4277,S2319,9,system,unknown,0.32,0.87,,11,2025-03-19
T4278,S3055,5,system,service_lookup,0.75,0.82,,6,2025-04-13
T4279,S2335,9,user,start_application,0.77,0.71,silence,4,2025-02-11
T4280,S2050,9,system,repeat,0.68,0.7,misunderstanding,4,2025-04-13
T4281,S3102,14,user,repeat,0.67,0.88,,12,2025-02-06
T4282,S2173,8,user,service_lookup,0.78,0.35,,3,2025-04-20
T4283,S2500,8,system,start_application,0.87,0.84,misunderstanding,6,2025-04-14
T4284,S2075,4,system,start_application,0.54,0.79,,9,2025-01-28
T4285,S2315,14,user,service_lookup,0.87,0.73,noise,2,2025-02-10
T4286,S3104,4,user,unknown,0.66,0.67,,13,2025-03-03
T4287,S2696,14,user,start_application,0.92,0.81,noise,12,2025-03-10
T4288,S3009,2,system,unknown,0.64,0.52,silence,2,2025-02-02
T4289,S2731,4,system,service_lookup,0.69,0.86,misunderstanding,11,2025-01-31
T4290,S3094,4,user,service_lookup,0.64,0.63,misunderstanding,13,2025-04-26
T4291,S2968,6,user,repeat,0.61,0.89,silence,10,2025-02-25
T4292,S2853,3,user,start_application,0.53,0.95,misunderstanding,2,2025-03-31
T4293,S2665,2,user,service_lookup,0.68,0.89,,7,2025-01-07
T4294,S2651,8,system,unknown,0.84,0.7,,4,2025-02-26
T4295,S3094,2,system,unknown,0.72,0.61,,10,2025-02-03
T4296,S2045,8,user,start_application,0.53,0.55,,7,2025-03-08
T4297,S3070,7,user,start_application,0.84,0.68,,9,2025-03-29
T4298,S2148,3,user,service_lookup,0.31,0.97,silence,10,2025-03-12
T4299,S2909,6,user,unknown,0.59,0.86,,7,2025-02-15
T4300,S3153,6,user,repeat,0.95,0.69,silence,5,2025-01-28
T4301,S2455,10,user,service_lookup,0.48,0.6,misunderstanding,8,2025-02-14
T4302,S2876,14,user,service_lookup,0.86,0.81,,5,2025-04-06
T4303,S2965,5,user,repeat,0.7,0.71,misunderstanding,3,2025-03-01
T4304,S2868,13,system,service_lookup,0.87,0.92,,4,2025-01-07
T4305,S2928,8,user,unknown,0.78,0.81,,4,2025-02-15
T4306,S3023,11,system,unknown,0.85,0.93,misunderstanding,10,2025-01-09
T4307,S3000,12,system,unknown,0.39,0.41,misunderstanding,4,2025-01-15
T4308,S2773,5,system,repeat,0.9,0.6,,12,2025-02-24
T4309,S2243,7,user,start_application,0.8,0.64,,6,2025-01-09
T4310,S2473,6,system,service_lookup,0.54,0.89,misunderstanding,8,2025-02-03
T4311,S2381,11,user,repeat,0.65,0.79,misunderstanding,7,2025-02-26
T4312,S3126,7,system,service_lookup,0.81,0.72,,8,2025-04-11
T4313,S2488,13,system,start_application,0.51,0.87,misunderstanding,2,2025-01-04
T4314,S3060,9,user,service_lookup,0.76,0.67,,7,2025-04-26
T4315,S2396,3,user,service_lookup,0.47,0.69,,6,2025-02-07
T4316,S2295,10,system,service_lookup,0.79,0.81,noise,3,2025-01-14
T4317,S2106,7,system,repeat,0.91,0.76,,8,2025-03-23
T4318,S2859,13,system,start_application,0.85,0.94,,5,2025-02-10
T4319,S2953,10,system,service_lookup,0.95,0.8,,9,2025-03-09
T4320,S2529,3,system,start_application,0.55,0.8,silence,12,2025-01-03
T4321,S3106,13,system,service_lookup,0.71,0.43,,12,2025-04-28
T4322,S2933,2,user,unknown,0.87,0.57,misunderstanding,8,2025-03-24
T4323,S2287,12,user,start_application,0.83,0.66,,14,2025-01-27
T4324,S2705,7,system,service_lookup,0.75,0.77,,4,2025-04-04
T4325,S2214,4,user,service_lookup,0.75,0.88,,13,2025-04-28
T4326,S2731,1,system,unknown,0.54,0.95,silence,10,2025-01-13
T4327,S2343,6,user,start_application,0.73,0.68,misunderstanding,6,2025-04-07
T4328,S2193,11,system,service_lookup,0.53,0.92,silence,4,2025-03-09
T4329,S2157,6,user,start_application,0.77,0.66,,5,2025-04-28
T4330,S2464,6,user,service_lookup,0.82,0.65,,12,2025-02-04
T4331,S2103,2,user,service_lookup,0.71,0.78,,9,2025-01-19
T4332,S2033,1,user,repeat,0.75,0.68,,12,2025-02-13
T4333,S3125,3,system,service_lookup,0.74,0.6,,2,2025-04-13
T4334,S2638,12,user,repeat,0.89,0.78,silence,14,2025-02-01
T4335,S2324,14,system,start_application,0.82,0.88,,7,2025-04-16
T4336,S2690,2,user,service_lookup,0.72,0.82,,14,2025-02-14
T4337,S2591,6,user,repeat,0.58,0.74,,13,2025-04-29
T4338,S2140,13,user,service_lookup,0.78,0.89,,9,2025-03-10
T4339,S2473,12,user,repeat,0.68,0.8,,8,2025-03-22
T4340,S3054,6,user,repeat,0.82,0.92,,9,2025-04-30
T4341,S2883,13,user,unknown,0.63,0.87,,14,2025-04-09
T4342,S2062,5,system,service_lookup,0.7,0.81,,11,2025-03-22
T4343,S3110,10,system,service_lookup,0.31,0.62,,2,2025-03-22
T4344,S2303,10,system,start_application,0.59,0.85,,4,2025-01-25
T4345,S3084,5,system,service_lookup,0.93,0.94,,6,2025-04-15
T4346,S2395,9,user,start_application,0.58,0.85,silence,3,2025-03-13
T4347,S2333,14,user,service_lookup,0.61,0.58,,14,2025-04-26
T4348,S2785,5,user,start_application,0.96,0.84,,12,2025-04-02
T4349,S2410,13,user,service_lookup,0.91,0.78,,6,2025-04-20
T4350,S2283,10,system,repeat,0.52,0.56,,9,2025-02-20
T4351,S2465,6,system,repeat,0.76,0.69,,4,2025-04-19
T4352,S2079,11,system,service_lookup,0.38,0.6,,13,2025-03-03
T4353,S2783,4,system,repeat,0.98,0.86,silence,6,2025-03-24
T4354,S3100,10,user,service_lookup,0.92,0.69,,2,2025-01-08
T4355,S2732,14,user,service_lookup,0.91,0.59,,12,2025-03-14
T4356,S2076,14,user,service_lookup,0.91,0.94,,7,2025-01-18
T4357,S2508,1,system,repeat,0.89,0.67,,10,2025-02-23
T4358,S3187,4,system,start_application,0.8,0.87,,13,2025-02-13
T4359,S3032,2,system,service_lookup,0.82,0.61,noise,2,2025-03-08
T4360,S3198,10,user,unknown,0.75,0.59,silence,2,2025-04-01
T4361,S2461,3,user,service_lookup,0.85,0.8,misunderstanding,8,2025-02-03
T4362,S2244,7,user,unknown,0.5,0.71,,13,2025-01-16
T4363,S2121,7,system,service_lookup,0.64,0.71,misunderstanding,9,2025-02-24
T4364,S2184,1,user,repeat,0.64,0.56,,14,2025-04-30
T4365,S2031,8,user,start_application,0.5,0.68,,13,2025-02-17
T4366,S2997,7,user,unknown,0.95,0.82,misunderstanding,3,2025-01-30
T4367,S2761,1,system,unknown,0.81,0.87,silence,4,2025-02-28
T4368,S2568,8,user,unknown,0.82,0.71,,9,2025-02-05
T4369,S2309,14,system,start_application,0.89,0.55,,7,2025-03-15
T4370,S2829,14,user,repeat,0.62,0.74,silence,12,2025-04-10
T4371,S2991,2,user,repeat,0.46,0.77,,7,2025-01-23
T4372,S3079,8,user,service_lookup,0.59,0.58,,7,2025-04-03
T4373,S2790,3,system,unknown,0.69,0.67,,6,2025-02-26
T4374,S2463,10,system,start_application,0.74,0.88,,5,2025-04-19
T4375,S2677,7,user,service_lookup,0.66,0.67,,4,2025-04-05
T4376,S2978,13,user,start_application,0.96,0.91,,9,2025-02-09
T4377,S2669,6,system,start_application,0.54,0.8,noise,4,2025-02-18
T4378,S2697,5,system,start_application,0.79,0.76,silence,9,2025-04-05
T4379,S2993,11,user,start_application,0.83,0.74,misunderstanding,2,2025-03-22
T4380,S2077,10,user,service_lookup,0.89,0.75,,13,2025-01-05
T4381,S2533,14,system,start_application,0.77,0.85,,10,2025-02-03
T4382,S2107,11,system,unknown,0.65,0.73,silence,3,2025-01-25
T4383,S2763,2,system,service_lookup,0.63,0.71,silence,3,2025-03-29
T4384,S2014,2,system,start_application,0.67,0.89,,3,2025-03-18
T4385,S2369,13,user,service_lookup,0.57,0.19,,14,2025-03-16
T4386,S2204,12,system,service_lookup,0.66,0.62,,13,2025-02-09
T4387,S3136,1,user,start_application,0.71,0.9,silence,6,2025-01-18
T4388,S2864,14,system,service_lookup,0.66,0.88,,3,2025-04-05
T4389,S2440,9,system,repeat,0.79,0.6,,14,2025-01-02
T4390,S2858,11,user,start_application,0.96,0.88,silence,4,2025-01-22
T4391,S2226,8,system,service_lookup,0.48,0.82,,6,2025-03-19
T4392,S2527,8,system,start_application,0.57,0.94,noise,13,2025-03-19
T4393,S2353,1,system,unknown,0.79,0.54,silence,10,2025-04-19
T4394,S2622,5,user,service_lookup,0.87,0.79,silence,13,2025-01-11
T4395,S3024,12,user,start_application,0.79,0.44,silence,10,2025-02-05
T4396,S2926,6,system,unknown,0.75,0.67,,8,2025-01-09
T4397,S3184,2,system,unknown,0.88,0.71,,14,2025-03-09
T4398,S2160,10,user,start_application,0.85,0.98,,14,2025-02-01
T4399,S2870,5,user,service_lookup,0.9,0.31,misunderstanding,13,2025-02-25
T4400,S3151,6,user,service_lookup,0.86,0.74,,9,2025-04-22
T4401,S3174,9,user,service_lookup,0.7,0.66,silence,2,2025-04-12
T4402,S2443,10,system,start_application,0.73,0.53,noise,3,2025-02-21
T4403,S2462,1,system,service_lookup,0.88,0.71,,3,2025-01-14
T4404,S3053,13,system,unknown,0.86,0.82,,8,2025-04-22
T4405,S2472,10,system,start_application,0.89,0.81,silence,6,2025-04-22
T4406,S2556,3,user,service_lookup,0.9,0.72,,6,2025-04-04
T4407,S2079,12,system,service_lookup,0.86,0.8,,7,2025-02-24
T4408,S3062,9,system,start_application,0.43,0.77,,7,2025-02-21
T4409,S2239,14,system,service_lookup,0.91,0.65,misunderstanding,4,2025-04-07
T4410,S2556,1,user,repeat,0.76,0.87,,6,2025-01-14
T4411,S2589,1,user,unknown,0.7,0.65,,14,2025-04-05
T4412,S3139,1,user,unknown,0.55,0.88,,4,2025-04-05
T4413,S2268,7,system,repeat,0.83,0.5,,4,2025-03-04
T4414,S2334,13,user,unknown,0.68,0.37,,5,2025-01-15
T4415,S2311,5,system,start_application,0.78,0.76,silence,6,2025-01-01
T4416,S3076,6,system,start_application,0.41,0.86,,9,2025-03-13
T4417,S3091,13,user,repeat,0.39,0.88,,11,2025-02-24
T4418,S2693,14,system,service_lookup,0.97,0.8,,14,2025-03-30
T4419,S2033,8,system,service_lookup,0.88,0.75,misunderstanding,14,2025-04-27
T4420,S2385,14,system,repeat,0.25,0.89,silence,7,2025-04-22
T4421,S2248,13,user,unknown,0.74,0.61,,8,2025-02-23
T4422,S3134,2,user,start_application,0.83,0.79,silence,2,2025-03-31
T4423,S3117,13,user,start_application,0.71,0.56,silence,2,2025-03-29
T4424,S3070,2,user,start_application,0.84,0.85,,5,2025-04-09
T4425,S2793,3,system,start_application,0.67,0.79,,9,2025-03-24
T4426,S2851,13,system,start_application,0.44,0.89,,3,2025-01-12
T4427,S2873,3,system,unknown,0.6,0.91,misunderstanding,10,2025-03-18
T4428,S2375,13,user,start_application,0.88,0.75,,11,2025-03-21
T4429,S2723,3,user,service_lookup,0.45,0.92,,12,2025-02-27
T4430,S2201,4,system,repeat,0.71,0.87,silence,6,2025-04-03
T4431,S2444,3,system,service_lookup,0.47,0.78,,9,2025-01-10
T4432,S2296,2,user,repeat,0.73,0.93,,5,2025-02-18
T4433,S2492,9,user,start_application,0.68,0.65,misunderstanding,11,2025-02-01
T4434,S2337,6,system,repeat,0.71,0.41,,7,2025-02-19
T4435,S2922,3,user,service_lookup,0.81,0.94,,2,2025-03-23
T4436,S3089,9,user,service_lookup,0.57,0.8,,14,2025-04-22
T4437,S2791,4,user,service_lookup,0.52,0.84,misunderstanding,14,2025-01-11
T4438,S2961,4,user,start_application,0.94,0.56,,14,2025-01-07
T4439,S2316,8,user,service_lookup,0.55,0.66,,7,2025-01-24
T4440,S2941,7,user,start_application,0.8,0.8,misunderstanding,13,2025-03-17
T4441,S2625,7,user,unknown,0.56,0.36,,8,2025-01-16
T4442,S2074,10,system,service_lookup,0.82,0.84,,4,2025-03-16
T4443,S2938,7,system,repeat,0.62,0.49,,6,2025-04-04
T4444,S2058,10,user,repeat,0.61,0.86,,14,2025-04-07
T4445,S2385,11,system,unknown,0.89,0.72,misunderstanding,14,2025-02-02
T4446,S2014,5,user,unknown,0.61,0.68,silence,12,2025-03-10
T4447,S2198,7,user,start_application,0.67,0.72,,9,2025-01-17
T4448,S2034,4,user,start_application,0.73,0.94,,10,2025-03-01
T4449,S2161,8,system,start_application,0.94,0.76,,7,2025-03-04
T4450,S2981,9,user,service_lookup,0.58,0.9,,3,2025-02-03
T4451,S2798,13,user,service_lookup,0.81,0.87,silence,6,2025-01-16
T4452,S2894,12,system,service_lookup,0.77,0.78,,14,2025-02-20
T4453,S2470,3,user,service_lookup,0.75,0.85,,10,2025-04-19
T4454,S2530,7,system,repeat,0.84,0.81,,4,2025-04-23
T4455,S2791,12,system,unknown,0.84,0.77,,7,2025-01-09
T4456,S2851,10,system,unknown,0.75,0.77,,7,2025-04-06
T4457,S2347,9,user,service_lookup,0.58,0.56,,12,2025-04-10
T4458,S2693,1,user,service_lookup,0.82,0.88,misunderstanding,3,2025-01-27
T4459,S2934,2,system,repeat,0.7,0.7,misunderstanding,4,2025-04-20
T4460,S2912,7,system,service_lookup,0.81,0.65,,12,2025-02-17
T4461,S2146,13,system,repeat,0.48,0.78,misunderstanding,10,2025-04-19
T4462,S2674,2,user,repeat,0.66,0.82,misunderstanding,10,2025-01-30
T4463,S2686,7,user,start_application,0.5,0.43,,10,2025-03-20
T4464,S2959,1,user,service_lookup,0.57,0.92,misunderstanding,3,2025-04-01
T4465,S2685,3,user,service_lookup,0.64,0.49,,4,2025-01-22
T4466,S3126,5,user,service_lookup,0.97,0.5,noise,10,2025-01-22
T4467,S2120,14,user,start_application,0.62,0.47,silence,13,2025-04-25
T4468,S2418,12,system,unknown,0.91,0.8,,14,2025-01-24
T4469,S2349,14,user,service_lookup,0.84,0.72,,9,2025-03-19
T4470,S2041,11,user,service_lookup,0.43,0.8,silence,5,2025-02-07
T4471,S2028,6,user,start_application,0.93,0.92,misunderstanding,11,2025-01-06
T4472,S2965,13,user,service_lookup,0.49,0.52,,12,2025-04-19
T4473,S2784,9,user,unknown,0.79,0.94,silence,12,2025-01-17
T4474,S2013,9,user,service_lookup,0.61,0.93,,8,2025-04-02
T4475,S2919,3,user,unknown,0.74,0.81,,6,2025-02-24
T4476,S2817,14,system,unknown,0.66,0.92,silence,3,2025-03-01
T4477,S2824,8,user,unknown,0.88,0.62,misunderstanding,8,2025-02-21
T4478,S2871,13,system,service_lookup,0.62,0.62,,11,2025-01-24
T4479,S2294,4,system,service_lookup,0.78,0.71,,9,2025-04-19
T4480,S2863,7,system,repeat,0.81,0.93,,5,2025-02-20
T4481,S2547,6,user,repeat,0.52,0.7,,11,2025-01-15
T4482,S3060,8,user,repeat,0.56,0.6,misunderstanding,12,2025-04-26
T4483,S3007,6,system,start_application,0.66,0.88,,9,2025-01-28
T4484,S3037,4,system,service_lookup,0.66,0.86,,12,2025-01-14
T4485,S2634,2,system,unknown,0.77,0.74,,8,2025-01-11
T4486,S2594,7,user,service_lookup,0.57,0.67,silence,4,2025-01-01
T4487,S3182,11,system,service_lookup,0.86,0.62,,4,2025-01-17
T4488,S2613,13,system,service_lookup,0.83,0.69,,13,2025-04-18
T4489,S3106,11,system,repeat,0.69,0.62,,4,2025-02-20
T4490,S3045,4,user,service_lookup,0.6,0.83,noise,4,2025-03-30
T4491,S3155,13,user,start_application,0.66,0.61,,8,2025-02-23
T4492,S2464,9,user,service_lookup,0.87,0.78,silence,6,2025-03-07
T4493,S2954,9,user,service_lookup,0.85,0.85,silence,13,2025-03-07
T4494,S2929,7,system,repeat,0.8,0.38,,5,2025-04-13
T4495,S2798,5,system,service_lookup,0.65,0.91,,11,2025-04-27
T4496,S2394,3,system,service_lookup,0.72,0.54,silence,9,2025-01-15
T4497,S3143,3,user,start_application,0.57,0.62,,11,2025-03-18
T4498,S2245,9,system,start_application,0.92,0.86,,10,2025-03-17
T4499,S2567,9,user,service_lookup,0.88,0.87,,4,2025-03-16
T4500,S2037,12,system,unknown,0.8,0.93,,12,2025-04-03
T4501,S2244,13,system,unknown,0.25,0.64,,14,2025-03-16
T4502,S2020,11,user,start_application,0.82,0.69,,7,2025-02-27
T4503,S3133,4,user,service_lookup,0.51,0.72,,5,2025-04-25
T4504,S2393,11,user,service_lookup,0.77,0.61,,13,2025-01-04
T4505,S2986,1,user,unknown,0.66,0.67,,6,2025-03-06
T4506,S2007,13,system,start_application,0.97,0.86,,8,2025-04-19
T4507,S2327,10,user,service_lookup,0.66,0.3,,5,2025-01-27
T4508,S2289,5,user,unknown,0.37,0.71,,9,2025-02-13
T4509,S2510,14,user,start_application,0.87,0.6,,14,2025-04-09
T4510,S2911,8,system,start_application,0.87,0.93,,4,2025-02-21
T4511,S2360,10,user,service_lookup,0.84,0.39,,12,2025-03-18
T4512,S2715,4,user,service_lookup,0.87,0.86,,8,2025-02-15
T4513,S2218,10,system,unknown,0.78,0.23,,14,2025-04-05
T4514,S2405,10,user,repeat,0.45,0.66,silence,4,2025-02-26
T4515,S2752,4,user,service_lookup,0.88,0.81,,3,2025-01-11
T4516,S2922,13,system,start_application,0.85,0.95,,9,2025-03-15
T4517,S2831,12,user,start_application,0.6,0.67,misunderstanding,3,2025-02-06
T4518,S2793,14,system,service_lookup,0.91,0.78,,10,2025-03-13
T4519,S2594,9,system,start_application,0.5,0.42,silence,6,2025-01-16
T4520,S2106,9,user,start_application,0.75,0.68,misunderstanding,5,2025-03-10
T4521,S2580,7,user,service_lookup,0.6,0.91,misunderstanding,13,2025-03-26
T4522,S2608,10,system,service_lookup,0.73,0.75,misunderstanding,10,2025-03-05
T4523,S2007,8,system,service_lookup,0.77,0.87,,9,2025-01-08
T4524,S2805,12,user,start_application,0.79,0.83,,3,2025-02-04
T4525,S2188,12,user,start_application,0.96,0.75,,6,2025-01-05
T4526,S2080,4,user,service_lookup,0.54,0.73,,2,2025-03-18
T4527,S2107,8,system,start_application,0.51,0.96,,3,2025-01-13
T4528,S2685,14,system,service_lookup,0.78,0.66,,6,2025-01-05
T4529,S2345,6,system,start_application,0.65,0.65,misunderstanding,4,2025-04-07
T4530,S2327,13,user,service_lookup,0.84,0.74,,11,2025-01-16
T4531,S2554,3,user,start_application,0.46,0.78,,14,2025-04-25
T4532,S2301,7,system,start_application,0.89,0.69,,11,2025-01-20
T4533,S2199,3,system,start_application,0.66,0.48,silence,11,2025-02-11
T4534,S2892,11,user,repeat,0.77,0.89,,2,2025-04-12
T4535,S3062,7,user,service_lookup,1.0,0.76,,8,2025-01-28
T4536,S2306,5,user,unknown,0.57,0.91,,8,2025-02-23
T4537,S3027,4,user,repeat,0.86,0.75,misunderstanding,4,2025-03-21
T4538,S3100,3,system,start_application,0.54,0.6,misunderstanding,8,2025-04-27
T4539,S2467,8,system,unknown,0.85,0.87,,6,2025-04-06
T4540,S2178,4,user,service_lookup,0.49,0.75,misunderstanding,9,2025-04-06
T4541,S2644,8,user,service_lookup,0.76,0.46,,3,2025-01-11
T4542,S2275,10,user,repeat,0.58,0.77,,13,2025-03-07
T4543,S3175,3,system,unknown,0.89,0.98,,8,2025-03-09
T4544,S3187,10,user,service_lookup,0.75,0.79,,4,2025-02-28
T4545,S2620,13,user,start_application,0.37,0.76,noise,11,2025-03-18
T4546,S2637,9,user,repeat,0.88,0.92,,5,2025-01-05
T4547,S2929,6,user,unknown,0.52,0.62,,2,2025-01-07
T4548,S2182,5,system,service_lookup,0.61,0.93,,8,2025-03-18
T4549,S2071,5,user,service_lookup,0.64,0.73,,14,2025-01-22
T4550,S2718,13,user,service_lookup,0.83,0.89,,12,2025-03-04
T4551,S3196,3,system,start_application,0.76,0.58,misunderstanding,12,2025-01-02
T4552,S2725,2,user,unknown,0.67,0.74,misunderstanding,9,2025-04-14
T4553,S2268,6,user,start_application,0.79,0.78,,14,2025-03-31
T4554,S3043,11,system,unknown,0.7,0.79,misunderstanding,3,2025-04-03
T4555,S2577,1,system,repeat,0.79,0.4,,6,2025-01-08
T4556,S2994,14,system,start_application,0.79,0.85,,6,2025-03-25
T4557,S2814,7,system,service_lookup,0.78,0.8,silence,9,2025-04-23
T4558,S2146,5,system,service_lookup,0.61,0.78,,4,2025-01-03
T4559,S3188,4,user,service_lookup,0.83,0.82,,3,2025-04-15
T4560,S2889,9,user,service_lookup,0.75,0.89,,14,2025-01-06
T4561,S2309,10,user,service_lookup,0.79,0.91,misunderstanding,3,2025-01-01
T4562,S2517,1,user,service_lookup,0.73,0.81,,2,2025-03-24
T4563,S2013,11,user,start_application,0.91,0.58,,8,2025-04-14
T4564,S2131,4,system,start_application,0.59,0.46,,7,2025-03-17
T4565,S2754,3,system,service_lookup,0.82,0.7,noise,12,2025-03-07
T4566,S2438,6,user,repeat,0.97,0.85,silence,4,2025-04-15
T4567,S2742,5,user,start_application,0.7,0.82,,10,2025-02-26
T4568,S2739,7,user,start_application,0.41,0.69,,6,2025-04-10
T4569,S2794,13,system,repeat,0.76,0.46,,10,2025-02-21
T4570,S2262,1,user,repeat,0.92,0.67,silence,2,2025-02-06
T4571,S2642,13,system,unknown,0.9,0.74,misunderstanding,4,2025-04-14
T4572,S2257,5,system,service_lookup,0.64,0.83,misunderstanding,9,2025-02-21
T4573,S2408,14,user,service_lookup,0.92,0.78,misunderstanding,13,2025-01-09
T4574,S2974,2,system,service_lookup,0.79,0.92,silence,4,2025-02-04
T4575,S3047,2,user,start_application,0.75,0.93,,9,2025-04-15
T4576,S2270,11,system,service_lookup,0.59,0.76,,2,2025-02-14
T4577,S3118,11,user,start_application,0.41,0.88,misunderstanding,12,2025-02-18
T4578,S2141,2,user,service_lookup,0.77,0.38,silence,5,2025-02-09
T4579,S2901,9,system,start_application,0.42,0.89,noise,10,2025-03-28
T4580,S2973,10,system,start_application,0.68,0.82,,8,2025-01-08
T4581,S3104,3,user,service_lookup,0.93,0.8,,12,2025-01-15
T4582,S2273,4,user,start_application,0.5,0.84,misunderstanding,6,2025-04-24
T4583,S2275,5,user,unknown,0.64,0.66,,2,2025-02-11
T4584,S2464,14,system,repeat,0.84,0.32,,13,2025-03-28
T4585,S3062,4,user,service_lookup,0.91,0.71,noise,12,2025-04-10
T4586,S2287,4,system,unknown,0.67,0.67,,10,2025-04-23
T4587,S3147,5,user,service_lookup,0.76,0.78,,12,2025-04-25
T4588,S2875,10,user,start_application,0.92,0.82,misunderstanding,7,2025-04-11
T4589,S2877,9,system,service_lookup,0.53,0.8,,11,2025-01-12
T4590,S2179,12,user,unknown,0.62,0.76,,7,2025-02-21
T4591,S3120,9,system,service_lookup,0.31,0.73,,10,2025-02-25
T4592,S3097,14,system,service_lookup,0.58,0.89,silence,9,2025-03-23
T4593,S2446,14,user,unknown,0.86,0.59,,10,2025-02-25
T4594,S2784,6,system,start_application,0.88,0.8,silence,3,2025-03-31
T4595,S2560,11,user,repeat,0.85,0.88,,4,2025-02-27
T4596,S2483,12,user,service_lookup,0.74,0.74,,6,2025-02-22
T4597,S2848,14,user,start_application,0.7,0.83,silence,6,2025-01-30
T4598,S2721,3,system,unknown,0.52,0.6,,14,2025-02-19
T4599,S2115,6,user,start_application,0.75,0.91,,7,2025-04-02
T4600,S2534,10,user,repeat,0.96,0.57,,3,2025-02-11
T4601,S3121,4,user,unknown,0.88,0.65,,9,2025-01-12
T4602,S2406,3,user,start_application,0.82,0.89,silence,13,2025-03-13
T4603,S2693,6,user,service_lookup,0.83,0.76,noise,2,2025-04-07
T4604,S3171,11,user,service_lookup,0.92,0.96,,13,2025-03-19
T4605,S2494,6,user,service_lookup,0.81,0.83,silence,8,2025-04-27
T4606,S2947,2,user,start_application,0.37,0.88,,7,2025-03-06
T4607,S2022,9,user,unknown,0.83,0.78,misunderstanding,10,2025-03-06
T4608,S3128,8,system,start_application,0.79,0.75,silence,8,2025-02-28
T4609,S2557,6,system,unknown,0.74,0.57,silence,13,2025-04-01
T4610,S2940,1,user,repeat,0.65,0.86,,13,2025-02-03
T4611,S2854,12,system,unknown,0.43,0.9,,9,2025-03-13
T4612,S3038,2,user,unknown,0.61,0.87,,3,2025-03-15
T4613,S2890,4,user,repeat,0.62,0.61,,11,2025-01-20
T4614,S2077,7,system,unknown,0.93,0.91,,5,2025-03-04
T4615,S2806,9,system,repeat,0.86,0.59,,10,2025-03-01
T4616,S3041,10,system,repeat,0.84,0.9,,8,2025-04-11
T4617,S2767,5,system,repeat,0.82,0.84,,12,2025-03-06
T4618,S2453,10,user,repeat,0.67,0.57,,13,2025-04-04
T4619,S2927,2,system,service_lookup,0.7,0.93,,3,2025-03-30
T4620,S2276,13,system,start_application,0.55,0.61,,2,2025-02-22
T4621,S3050,11,user,service_lookup,0.72,0.56,misunderstanding,4,2025-01-30
T4622,S2513,11,system,service_lookup,0.63,0.82,misunderstanding,13,2025-03-31
T4623,S2463,11,user,start_application,0.93,0.8,misunderstanding,7,2025-03-05
T4624,S2806,1,system,unknown,0.8,0.72,misunderstanding,11,2025-03-03
